Rank,Team,GoldMedal,SilverMedal,BronzeMedal,Year,Total,Rank by Total,NOCCode,Continent
1,United States of America,39,41,33,2021,113,1,USA,North America
2,United States of America,46,37,38,2016,121,1,USA,North America
3,United States of America,47,27,30,2012,104,1,USA,North America
4,United States of America,36,39,37,2008,112,1,USA,North America
5,United States of America,36,39,26,2004,101,1,USA,North America
6,United States of America,37,24,32,2000,93,1,USA,North America
7,United States of America,44,32,25,1996,101,1,USA,North America
8,United States of America,37,34,37,1992,108,1,USA,North America
9,United States of America,36,31,27,1988,94,1,USA,North America
10,United States of America,83,61,30,1984,174,1,USA,North America
11,United States of America,34,35,25,1976,125,1,USA,North America
12,United States of America,33,31,30,1972,94,1,USA,North America
13,United States of America,45,28,34,1968,107,1,USA,North America
14,United States of America,36,26,28,1964,90,1,USA,North America
15,United States of America,34,21,16,1960,71,1,USA,North America
16,United States of America,32,25,17,1956,98,1,USA,North America
17,United States of America,40,19,17,1952,76,1,USA,North America
18,United States of America,38,27,19,1948,84,1,USA,North America
19,United States of America,24,20,12,1936,56,1,USA,North America
20,United States of America,41,32,30,1932,103,1,USA,North America
21,United States of America,22,18,16,1928,56,1,USA,North America
22,United States of America,45,27,27,1924,99,1,USA,North America
23,United States of America,41,27,27,1920,95,1,USA,North America
24,United States of America,26,19,19,1912,64,1,USA,North America
25,United States of America,23,12,12,1908,47,1,USA,North America
26,United States of America,76,78,77,1904,231,1,USA,North America
27,United States of America,19,14,15,1900,48,1,USA,North America
28,United States of America,11,7,2,1896,20,1,USA,North America
1,People's Republic of China,38,32,18,2021,88,2,CHN,Asia
2,People's Republic of China,26,18,26,2016,70,2,CHN,Asia
3,People's Republic of China,38,31,22,2012,91,2,CHN,Asia
4,People's Republic of China,48,22,30,2008,100,2,CHN,Asia
5,People's Republic of China,32,17,14,2004,63,2,CHN,Asia
6,People's Republic of China,28,16,14,2000,58,2,CHN,Asia
7,People's Republic of China,16,22,12,1996,50,2,CHN,Asia
8,People's Republic of China,16,22,16,1992,54,2,CHN,Asia
9,People's Republic of China,5,11,12,1988,28,2,CHN,Asia
10,People's Republic of China,15,8,9,1984,32,2,CHN,Asia
